hour,totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints,convertedStoragePoints_cfx
2023-09-14 10:00:00+00:00,3759245295.217308,5421745305.321474,403684561.2584883,3249597.125,148186723.97189942,2023-09-14T10:33:56+00:00,3249597.125,636212224.0,224232320.0,621301.0
2023-09-14 11:00:00+00:00,3759257858.4915056,5421757868.595673,403695561.2584883,3249603.5625,148180828.35594836,2023-09-14T11:33:55+00:00,3249603.5625,636212224.0,224234944.0,621301.0
2023-09-14 12:00:00+00:00,3759270322.4433527,5421770332.54752,403697561.2584883,3249672.25,148183046.30840212,2023-09-14T12:33:54+00:00,3249672.25,636222464.0,224235648.0,621311.0
2023-09-14 13:00:00+00:00,3759282593.971541,5421782604.075708,403698561.2584883,3249679.4375,148184984.29911438,2023-09-14T13:33:54+00:00,3249679.4375,636478464.0,224234560.0,621561.0
2023-09-14 14:00:00+00:00,3759295200.082516,5421795210.186683,403694561.2584883,3249681.5625,147655123.01835284,2023-09-14T14:33:54+00:00,3249681.5625,636478464.0,224234176.0,621561.0
2023-09-14 15:00:00+00:00,3759307287.957805,5421807298.061972,403327623.3208354,3249621.6875,148032163.23010865,2023-09-14T15:33:54+00:00,3249621.6875,636642304.0,224346688.0,621721.0
2023-09-14 16:00:00+00:00,3759317340.491696,5421817350.595862,405673682.6248354,3249768.75,145771185.74990028,2023-09-14T16:33:54+00:00,3249768.75,636642304.0,224347328.0,621721.0
2023-09-14 17:00:00+00:00,3759329827.825676,5421829837.929843,405674522.31610847,3249934.0625,145773627.36651075,2023-09-14T17:33:54+00:00,3249934.0625,636642304.0,224348800.0,621721.0
2023-09-14 18:00:00+00:00,3759342566.590999,5421842576.695166,405736522.31610847,3250106.3125,145775235.65992123,2023-09-14T18:33:54+00:00,3250106.3125,636642304.0,224347008.0,621721.0
2023-09-14 19:00:00+00:00,3759355022.9190392,5421855033.023206,405737522.31610847,3250276.125,145682616.18058866,2023-09-14T19:33:55+00:00,3250276.125,636642304.0,224347776.0,621721.0
2023-09-14 20:00:00+00:00,3759367527.9012666,5421867538.005433,405737522.31610847,3250445.375,145687139.5194504,2023-09-14T20:33:54+00:00,3250445.375,636642304.0,224347776.0,621721.0
2023-09-14 21:00:00+00:00,3759380137.5685534,5421880147.67272,405738522.31610847,3250615.125,145789478.9014669,2023-09-14T21:33:54+00:00,3250615.125,636642304.0,224347776.0,621721.0
2023-09-14 22:00:00+00:00,3759392767.553012,5421892777.657179,405743522.31610847,3250783.5625,145790437.6454711,2023-09-14T22:33:55+00:00,3250783.5625,636642304.0,224346880.0,621721.0
2023-09-14 23:00:00+00:00,3759405365.157057,5421905375.261224,405749522.31610847,3250953.625,145787054.31381303,2023-09-14T23:33:55+00:00,3250953.625,636642304.0,224347200.0,621721.0
2023-09-15 00:00:00+00:00,3759417836.89743,5421917847.001596,405701522.31610847,3251122.9375,145788013.3805596,2023-09-15T00:33:54+00:00,3251122.9375,636642304.0,224347520.0,621721.0
2023-09-15 01:00:00+00:00,3759430292.5321736,5421930302.63634,405703522.31610847,3251290.0,145808000.5659445,2023-09-15T01:33:55+00:00,3251290.0,636642304.0,224347584.0,621721.0
2023-09-15 02:00:00+00:00,3759440322.7523007,5421940332.856467,402762156.6219699,3251526.5625,148792514.8868249,2023-09-15T02:33:54+00:00,3251526.5625,636642304.0,224348352.0,621721.0
2023-09-15 03:00:00+00:00,3759452789.759184,5421952799.86335,405767151.1178525,3251760.625,145337239.6237725,2023-09-15T03:33:55+00:00,3251760.625,636647424.0,224353344.0,621726.0
2023-09-15 04:00:00+00:00,3759464697.666709,5421964707.770876,405781151.1178525,3252126.75,145340859.2682212,2023-09-15T04:33:55+00:00,3252126.75,637261824.0,224353984.0,622326.0
2023-09-15 05:00:00+00:00,3759477228.104344,5421977238.208511,405782151.1178525,3252503.625,145341177.22534615,2023-09-15T05:33:55+00:00,3252503.625,637261824.0,224353664.0,622326.0
2023-09-15 06:00:00+00:00,3759489847.472134,5421989857.576301,405783151.1178525,3252891.0,145334319.48609984,2023-09-15T06:33:55+00:00,3252891.0,637261824.0,224354816.0,622326.0
2023-09-15 07:00:00+00:00,3759502351.561295,5422002361.665462,405787151.1178525,3253268.875,145335025.11880708,2023-09-15T07:33:55+00:00,3253268.875,637261824.0,224355008.0,622326.0
2023-09-15 08:00:00+00:00,3759514818.72172,5422014828.825887,405790151.1178525,3253648.3125,145310554.09290126,2023-09-15T08:33:55+00:00,3253648.3125,637261824.0,224356672.0,622326.0
2023-09-15 09:00:00+00:00,3759525245.438984,5422025255.543151,405785151.1178525,3252262.5625,145316597.78258184,2023-09-15T09:33:55+00:00,3252262.5625,639477248.0,226166976.0,624489.5
2023-09-15 10:00:00+00:00,3759537557.357832,5422037567.461998,405795151.1178525,3252678.0,145309575.83312723,2023-09-15T10:33:54+00:00,3252678.0,639477248.0,226166720.0,624489.5
2023-09-15 11:00:00+00:00,3759547606.439736,5422047616.543902,405797151.1178525,3253070.75,145310165.2989876,2023-09-15T11:33:55+00:00,3253070.75,639529472.0,226166336.0,624540.5
2023-09-15 12:00:00+00:00,3759559982.658494,5422059992.762661,405808151.1178525,3253399.0,145312435.64644134,2023-09-15T12:33:55+00:00,3253399.0,639662592.0,226217344.0,624670.5
2023-09-15 13:00:00+00:00,3759572806.808319,5422072816.912486,405806151.1178525,3253775.375,145298692.63107404,2023-09-15T13:33:55+00:00,3253775.375,639662592.0,226217152.0,624670.5
2023-09-15 14:00:00+00:00,3759585486.915604,5422085497.019771,405816151.1178525,3254152.125,145294291.95737946,2023-09-15T14:33:55+00:00,3254152.125,639662592.0,226218112.0,624670.5
2023-09-15 15:00:00+00:00,3759598041.9097176,5422098052.013885,405816167.5299469,3254529.6875,145282799.97904038,2023-09-15T15:33:55+00:00,3254529.6875,639662592.0,226218112.0,624670.5
2023-09-15 16:00:00+00:00,3759610689.014375,5422110699.118542,405723167.5299469,3254906.9375,145283798.7483013,2023-09-15T16:33:55+00:00,3254906.9375,639662592.0,226218496.0,624670.5
