totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints,convertedStoragePoints_cfx
3758883973.697175,5421383983.801341,403524152.0468848,3248965.1875,148871913.46301004,2023-09-13T04:03:54+00:00,3248965.1875,532552704.0,131926848.0,520071.0
3758884835.1863337,5421384845.290501,403525152.0468848,3248965.4375,148871974.35986358,2023-09-13T05:04:37+00:00,3248965.4375,634952704.0,224102528.0,620071.0
3758898155.237446,5421398165.341612,403531152.0468848,3248970.125,148564326.75418845,2023-09-13T06:10:15+00:00,3248970.125,634952704.0,224102464.0,620071.0
3758974772.839081,5421474782.943247,403567152.0468848,3248992.3125,148541632.61277992,2023-09-13T12:26:00+00:00,3248992.3125,635546624.0,224122560.0,620651.0
3758988311.767526,5421488321.871693,403568152.0468848,3248992.9375,148544517.6172906,2023-09-13T13:33:54+00:00,3248992.9375,635546624.0,224122688.0,620651.0
3759000771.77715,5421500781.881317,403576152.0468848,3248995.4375,148504248.9424733,2023-09-13T14:33:55+00:00,3248995.4375,635546624.0,224123136.0,620651.0
3759013414.01007,5421513424.114237,403594152.0468848,3248994.8125,148086308.22433233,2023-09-13T15:33:54+00:00,3248994.8125,635546624.0,224123136.0,620651.0
3759025879.1735578,5421525889.277724,403615152.0468848,3248996.5,148068264.0259683,2023-09-13T16:33:54+00:00,3248996.5,635546624.0,224123712.0,620651.0
3759038421.251099,5421538431.355266,403616152.0468848,3248993.3125,148089240.61211503,2023-09-13T17:33:55+00:00,3248993.3125,635551744.0,224128512.0,620656.0
3759050860.531469,5421550870.635635,403612152.0468848,3248989.125,148096460.86056003,2023-09-13T18:33:54+00:00,3248989.125,635567104.0,224126592.0,620671.0
3759063411.4719634,5421563421.57613,403612152.0468848,3248989.4375,148097044.86432856,2023-09-13T19:33:55+00:00,3248989.4375,635567104.0,224126400.0,620671.0
3759075951.375255,5421575961.479422,403613152.0468848,3248989.25,148098018.27464858,2023-09-13T20:33:55+00:00,3248989.25,635567104.0,224126784.0,620671.0
3759088568.609276,5421588578.713442,403614152.0468848,3248989.625,148136952.5056773,2023-09-13T21:33:55+00:00,3248989.625,635567104.0,224127424.0,620671.0
3759098266.343014,5421598276.447181,403635152.0468848,3248990.1875,148115332.76006696,2023-09-13T22:33:56+00:00,3248990.1875,635567104.0,224127232.0,620671.0
3759110814.981267,5421610825.085434,403650152.0468848,3248991.875,148114549.79548594,2023-09-13T23:33:55+00:00,3248991.875,635567104.0,224127360.0,620671.0
3759123290.3782153,5421623300.482382,403645152.0468848,3248992.125,148120529.51302856,2023-09-14T00:33:56+00:00,3248992.125,635567104.0,224127808.0,620671.0
3759135778.440881,5421635788.545048,403651152.0468848,3248992.0,148140202.6050426,2023-09-14T01:33:55+00:00,3248992.1875,635567104.0,224129024.0,620671.0
3759147897.965547,5421647908.069714,403655152.0468848,3249003.4375,148142650.83099362,2023-09-14T02:33:55+00:00,3249003.4375,636079104.0,224128832.0,621171.0
3759160488.6335206,5421660498.737687,403656152.0468848,3249031.375,148147047.0787544,2023-09-14T03:33:55+00:00,3249031.375,636079104.0,224130432.0,621171.0
3759172952.294425,5421672962.398591,403658152.0468848,3249194.5,148157079.59922063,2023-09-14T04:33:55+00:00,3249194.5,636109824.0,224131456.0,621201.0
3759185480.327613,5421685490.431779,403659156.0030732,3249345.5,148158865.1411895,2023-09-14T05:33:55+00:00,3249345.5,636109824.0,224133504.0,621201.0
3759198004.157901,5421698014.262068,403657156.0030732,3249466.9375,148190116.76205918,2023-09-14T06:33:55+00:00,3249466.9375,636109824.0,224134784.0,621201.0
3759207659.646703,5421707669.75087,403681156.0030732,3249535.3125,148178034.3287272,2023-09-14T07:33:55+00:00,3249535.3125,636212224.0,224136960.0,621301.0
3759220270.244676,5421720280.348842,403680563.2584883,3249537.5,148175401.23416194,2023-09-14T08:33:55+00:00,3249537.5,636212224.0,224188992.0,621301.0
3759232920.921573,5421732931.02574,403683561.2584883,3249595.375,148175336.18050775,2023-09-14T09:33:56+00:00,3249595.375,636212224.0,224231872.0,621301.0
3759245295.217308,5421745305.321474,403684561.2584883,3249597.125,148186723.97189942,2023-09-14T10:33:56+00:00,3249597.125,636212224.0,224232320.0,621301.0
3759257858.4915056,5421757868.595673,403695561.2584883,3249603.5625,148180828.35594836,2023-09-14T11:33:55+00:00,3249603.5625,636212224.0,224234944.0,621301.0
3759270322.4433527,5421770332.54752,403697561.2584883,3249672.25,148183046.30840212,2023-09-14T12:33:54+00:00,3249672.25,636222464.0,224235648.0,621311.0
3759282593.971541,5421782604.075708,403698561.2584883,3249679.4375,148184984.29911438,2023-09-14T13:33:54+00:00,3249679.4375,636478464.0,224234560.0,621561.0
3759295200.082516,5421795210.186683,403694561.2584883,3249681.5625,147655123.01835284,2023-09-14T14:33:54+00:00,3249681.5625,636478464.0,224234176.0,621561.0
3759307287.957805,5421807298.061972,403327623.3208354,3249621.6875,148032163.23010865,2023-09-14T15:33:54+00:00,3249621.6875,636642304.0,224346688.0,621721.0
3759317340.491696,5421817350.595862,405673682.6248354,3249768.75,145771185.74990028,2023-09-14T16:33:54+00:00,3249768.75,636642304.0,224347328.0,621721.0
3759329827.825676,5421829837.929843,405674522.31610847,3249934.0625,145773627.36651075,2023-09-14T17:33:54+00:00,3249934.0625,636642304.0,224348800.0,621721.0
3759342566.590999,5421842576.695166,405736522.31610847,3250106.3125,145775235.65992123,2023-09-14T18:33:54+00:00,3250106.3125,636642304.0,224347008.0,621721.0
3759355022.9190392,5421855033.023206,405737522.31610847,3250276.125,145682616.18058866,2023-09-14T19:33:55+00:00,3250276.125,636642304.0,224347776.0,621721.0
3759367527.9012666,5421867538.005433,405737522.31610847,3250445.375,145687139.5194504,2023-09-14T20:33:54+00:00,3250445.375,636642304.0,224347776.0,621721.0
3759380137.5685534,5421880147.67272,405738522.31610847,3250615.125,145789478.9014669,2023-09-14T21:33:54+00:00,3250615.125,636642304.0,224347776.0,621721.0
3759392767.553012,5421892777.657179,405743522.31610847,3250783.5625,145790437.6454711,2023-09-14T22:33:55+00:00,3250783.5625,636642304.0,224346880.0,621721.0
3759405365.157057,5421905375.261224,405749522.31610847,3250953.625,145787054.31381303,2023-09-14T23:33:55+00:00,3250953.625,636642304.0,224347200.0,621721.0
3759417836.89743,5421917847.001596,405701522.31610847,3251122.9375,145788013.3805596,2023-09-15T00:33:54+00:00,3251122.9375,636642304.0,224347520.0,621721.0
3759430292.5321736,5421930302.63634,405703522.31610847,3251290.0,145808000.5659445,2023-09-15T01:33:55+00:00,3251290.0,636642304.0,224347584.0,621721.0
3759440322.7523007,5421940332.856467,402762156.6219699,3251526.5625,148792514.8868249,2023-09-15T02:33:54+00:00,3251526.5625,636642304.0,224348352.0,621721.0
3759452789.759184,5421952799.86335,405767151.1178525,3251760.625,145337239.6237725,2023-09-15T03:33:55+00:00,3251760.625,636647424.0,224353344.0,621726.0
3759464697.666709,5421964707.770876,405781151.1178525,3252126.75,145340859.2682212,2023-09-15T04:33:55+00:00,3252126.75,637261824.0,224353984.0,622326.0
3759477228.104344,5421977238.208511,405782151.1178525,3252503.625,145341177.22534615,2023-09-15T05:33:55+00:00,3252503.625,637261824.0,224353664.0,622326.0
3759489847.472134,5421989857.576301,405783151.1178525,3252891.0,145334319.48609984,2023-09-15T06:33:55+00:00,3252891.0,637261824.0,224354816.0,622326.0
3759502351.561295,5422002361.665462,405787151.1178525,3253268.875,145335025.11880708,2023-09-15T07:33:55+00:00,3253268.875,637261824.0,224355008.0,622326.0
3759514818.72172,5422014828.825887,405790151.1178525,3253648.3125,145310554.09290126,2023-09-15T08:33:55+00:00,3253648.3125,637261824.0,224356672.0,622326.0
3759525245.438984,5422025255.543151,405785151.1178525,3252262.5625,145316597.78258184,2023-09-15T09:33:55+00:00,3252262.5625,639477248.0,226166976.0,624489.5
3759537557.357832,5422037567.461998,405795151.1178525,3252678.0,145309575.83312723,2023-09-15T10:33:54+00:00,3252678.0,639477248.0,226166720.0,624489.5
3759547606.439736,5422047616.543902,405797151.1178525,3253070.75,145310165.2989876,2023-09-15T11:33:55+00:00,3253070.75,639529472.0,226166336.0,624540.5
3759559982.658494,5422059992.762661,405808151.1178525,3253399.0,145312435.64644134,2023-09-15T12:33:55+00:00,3253399.0,639662592.0,226217344.0,624670.5
3759572806.808319,5422072816.912486,405806151.1178525,3253775.375,145298692.63107404,2023-09-15T13:33:55+00:00,3253775.375,639662592.0,226217152.0,624670.5
3759585486.915604,5422085497.019771,405816151.1178525,3254152.125,145294291.95737946,2023-09-15T14:33:55+00:00,3254152.125,639662592.0,226218112.0,624670.5
3759598041.9097176,5422098052.013885,405816167.5299469,3254529.6875,145282799.97904038,2023-09-15T15:33:55+00:00,3254529.6875,639662592.0,226218112.0,624670.5
3759610689.014375,5422110699.118542,405723167.5299469,3254906.9375,145283798.7483013,2023-09-15T16:33:55+00:00,3254906.9375,639662592.0,226218496.0,624670.5
3759623125.555511,5422123135.6596775,405724173.4517859,3255284.3125,145353982.17377254,2023-09-15T17:33:56+00:00,3255284.3125,639662592.0,226218496.0,624670.5
3759635772.791558,5422135782.895724,405700173.4517859,3255656.9375,145343424.20835847,2023-09-15T18:33:55+00:00,3255656.9375,639667712.0,226221184.0,624675.5
3759648351.763895,5422148361.868062,405701173.4517859,3256033.25,145310622.33125556,2023-09-15T19:33:55+00:00,3256033.25,639667712.0,226220544.0,624675.5
3759658140.133833,5422158150.237999,405703173.4517859,3256408.9375,145312580.87463978,2023-09-15T20:33:55+00:00,3256408.9375,639667712.0,226220544.0,624675.5
3759670860.523855,5422170870.628021,405704173.4517859,3256783.9375,145313440.37789026,2023-09-15T21:33:55+00:00,3256783.9375,639667712.0,226220736.0,624675.5
3759683285.450901,5422183295.555068,405704173.4517859,3257159.5,145329230.84983,2023-09-15T22:33:56+00:00,3257159.5,639667712.0,226220736.0,624675.5
3759695935.4196806,5422195945.523848,405707173.4517859,3257535.0625,145328856.0573083,2023-09-15T23:33:56+00:00,3257535.0625,639667712.0,226222144.0,624675.5
3759708377.123379,5422208387.227546,405709173.4517859,3257912.5,145349861.09697515,2023-09-16T00:33:56+00:00,3257912.5,639667712.0,226222336.0,624675.5
3759720921.930723,5422220932.03489,405723173.4517859,3258284.4375,145129653.19351488,2023-09-16T01:33:56+00:00,3258284.4375,639667712.0,226222208.0,624675.5
3759733540.111943,5422233550.216109,405723173.4517859,3258661.0,145131152.06041855,2023-09-16T02:34:26+00:00,3258661.0,639729152.0,226223040.0,624735.5
3759746035.150831,5422246045.254997,405726173.4517859,3259039.1875,145131201.11412898,2023-09-16T03:33:56+00:00,3259039.1875,639729152.0,226222528.0,624735.5
3759752701.8673663,5422252711.971533,405735173.4517859,3254276.5,145125247.06808984,2023-09-16T04:33:57+00:00,3254276.5,645669888.0,231488256.0,630537.0
3759762563.723417,5422262573.827584,405737173.4517859,3254677.625,145119369.99409023,2023-09-16T05:33:58+00:00,3254677.625,645695488.0,231488320.0,630562.0
3759774769.164949,5422274779.269116,405738547.0402194,3255064.25,145111883.80428752,2023-09-16T06:33:56+00:00,3255064.25,645746688.0,231488832.0,630612.0
3759787220.273292,5422287230.377459,405742547.0402194,3255452.75,145125922.4658664,2023-09-16T07:33:56+00:00,3255452.75,645746688.0,231493056.0,630612.0
3759799967.381542,5422299977.485709,405745547.0402194,3255834.25,145082990.49336848,2023-09-16T08:33:56+00:00,3255834.25,645746688.0,231492928.0,630612.0
3759812277.2269263,5422312287.331093,405746547.0402194,3256217.1875,145093295.96730465,2023-09-16T09:33:56+00:00,3256217.1875,645797888.0,231493440.0,630662.0
3759799274.5669904,5422299284.671157,405745547.0402194,3256596.5,145095244.7464157,2023-09-16T10:33:56+00:00,3256596.5,671986688.0,231494848.0,656237.0
3759786628.450575,5422286638.554742,405745547.0402194,3256975.5625,145031992.46606317,2023-09-16T11:33:56+00:00,3256975.5625,697904128.0,231495232.0,681547.0
3759795616.663184,5422295626.76735,405747547.0402194,3257358.5625,145047769.45923695,2023-09-16T12:33:55+00:00,3257358.5625,701488128.0,231495616.0,685047.0
3759808210.5895233,5422308220.693689,405767547.0402194,3257739.6875,145024464.19206432,2023-09-16T13:33:56+00:00,3257739.6875,701488128.0,231495872.0,685047.0
3759818167.514172,5422318177.618339,405769547.0402194,3258117.5,145027577.5390619,2023-09-16T14:33:56+00:00,3258117.5,701488128.0,231496512.0,685047.0
3759830832.3956847,5422330842.499851,405778547.0402194,3258493.4375,145000931.64052662,2023-09-16T15:33:56+00:00,3258493.4375,701488128.0,231496192.0,685047.0
3759843344.266833,5422343354.370999,405779547.0402194,3258882.0625,144976429.06589913,2023-09-16T16:33:55+00:00,3258882.0625,701488128.0,231496064.0,685047.0
3759855792.440904,5422355802.545071,405779547.0402194,3259258.25,144967970.5560276,2023-09-16T17:33:55+00:00,3259258.25,701488128.0,231496064.0,685047.0
3759868271.783017,5422368281.887184,405782547.0402194,3259630.75,144968209.35265797,2023-09-16T18:33:55+00:00,3259637.0,701488128.0,231494592.0,685047.0
3759880924.135968,5422380934.240134,405786547.0402194,3260013.75,144943387.86981595,2023-09-16T19:33:56+00:00,3260013.75,701488128.0,231492224.0,685047.0
3759893589.570094,5422393599.674261,405787547.0402194,3260389.625,144962364.5855314,2023-09-16T20:33:56+00:00,3260389.625,701488128.0,231492160.0,685047.0
3759906217.559329,5422406227.663495,405788547.0402194,3260764.625,144965419.83371782,2023-09-16T21:33:56+00:00,3260764.625,701488128.0,231492608.0,685047.0
3759918515.266281,5422418525.370448,405789547.0402194,3261139.9375,145019089.69816592,2023-09-16T22:33:55+00:00,3261139.9375,701488128.0,231492608.0,685047.0
3759931370.829426,5422431380.933593,405790552.9647316,3261515.125,145013161.7672683,2023-09-16T23:33:56+00:00,3261515.125,701488128.0,231493888.0,685047.0
3759941166.294151,5422441176.398317,405792552.9647316,3261892.6875,145006486.87217525,2023-09-17T00:33:56+00:00,3261892.6875,701488128.0,231494464.0,685047.0
3759953518.467612,5422453528.571778,405793552.9647316,3262257.9375,144979689.99848196,2023-09-17T01:33:56+00:00,3262257.9375,701488128.0,231495808.0,685047.0
3759966148.32983,5422466158.433997,405794552.9647316,3262633.5625,144960767.1604403,2023-09-17T02:33:57+00:00,3262633.5625,701488128.0,231496128.0,685047.0
3759978726.8535247,5422478736.957691,405803552.9647316,3263004.375,144961379.50050852,2023-09-17T03:33:56+00:00,3263004.375,701488128.0,231495552.0,685047.0
3759991302.443311,5422491312.547478,405792552.9647316,3263585.75,144746774.8163784,2023-09-17T04:33:56+00:00,3263585.75,701488128.0,231495680.0,685047.0
3760003848.735445,5422503858.839611,405794552.9647316,3264060.6875,144761917.11938336,2023-09-17T05:33:56+00:00,3264060.6875,701488128.0,231495872.0,685047.0
3760016409.352988,5422516419.457154,405827552.9647316,3264256.25,144763253.39965534,2023-09-17T06:33:56+00:00,3264256.25,701492224.0,231495488.0,685051.0
3760029164.037456,5422529174.141623,405860552.9647316,3264635.125,144724981.25305203,2023-09-17T07:33:55+00:00,3264635.125,701492224.0,231497344.0,685051.0
3760041632.768552,5422541642.872719,405939552.9647316,3265016.125,144607431.5866636,2023-09-17T08:33:55+00:00,3265016.125,701492224.0,231496384.0,685051.0
3760051364.316569,5422551374.420735,405991552.9647316,3265393.8125,144557776.87738082,2023-09-17T09:33:55+00:00,3265393.8125,701492224.0,231523712.0,685051.0
3760064108.020011,5422564118.124178,405994552.9647316,3265770.375,144562890.56273967,2023-09-17T10:33:56+00:00,3265770.375,701492224.0,231523712.0,685051.0
3760076660.547544,5422576670.651711,405995552.9647316,3266147.9375,144561490.85238206,2023-09-17T11:33:55+00:00,3266147.9375,701492224.0,231523776.0,685051.0
3760089290.694962,5422589300.799129,406004552.9647316,3266521.9375,144562177.62154302,2023-09-17T12:33:56+00:00,3266521.9375,701492224.0,231523904.0,685051.0
3760101763.984494,5422601774.088661,406005552.9647316,3266898.0,144523528.6061481,2023-09-17T13:33:56+00:00,3266898.0,701502464.0,231524352.0,685061.0
3760114271.8453608,5422614281.949527,406029552.9647316,3267275.625,144520343.51503864,2023-09-17T14:33:56+00:00,3267275.625,701502464.0,231524544.0,685061.0
3760126829.780961,5422626839.885127,406209552.9647316,3267652.1875,144536160.96194997,2023-09-17T15:33:58+00:00,3267652.1875,701502464.0,231523136.0,685061.0
3760139389.257303,5422639399.361469,406212555.93139714,3268027.4375,144549086.90984422,2023-09-17T16:33:56+00:00,3268027.4375,701502464.0,231524992.0,685061.0
3760151854.84129,5422651864.9454565,406213555.93139714,3268402.8125,144549087.70909607,2023-09-17T17:33:56+00:00,3268402.8125,701502464.0,231525248.0,685061.0
3760161728.321981,5422661738.426147,406214555.93139714,3268781.75,144518641.3049205,2023-09-17T18:33:58+00:00,3268781.75,701502464.0,231522560.0,685061.0
3760174277.4055176,5422674287.509685,406209555.93139714,3269157.3125,144541840.24599388,2023-09-17T19:33:57+00:00,3269157.3125,701502464.0,231521984.0,685061.0
3760186989.147559,5422686999.251725,406207101.3097037,3269532.1875,144506627.93606466,2023-09-17T20:33:57+00:00,3269532.1875,701502464.0,231522048.0,685061.0
