totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
3763041922.3072095,5425541932.411376,408273076.6428964,3267613.75,142155215.6033237,2023-09-27T17:33:57+00:00,,,
,,,,,2023-09-27T17:33:58+00:00,3267613.75,748577280.0,252091904.0
