totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4533099707.763369,5495599722.034203,576775198.0327169,3201697.9375,177396030.62930933,2024-05-10T14:33:55+00:00,,,
,,,,,2024-05-10T14:33:56+00:00,3201697.9375,971226112.0,306693760.0
