totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4825874073.097489,5525874088.930822,655878425.7359475,3207802.0,182996041.14874294,2024-08-06T02:33:57+00:00,,,
,,,,,2024-08-06T02:33:58+00:00,3207802.0,979141632.0,309562240.0
