totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4926812921.375719,5539312937.729886,666944012.1884441,3212887.125,178280033.8079903,2024-09-13T09:33:54+00:00,,,
,,,,,2024-09-13T09:33:54+00:00,3212887.125,984506368.0,312989568.0
