totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4532651824.08187,5495151838.352703,575785824.6112089,3201642.375,179980172.89264905,2024-05-09T06:33:56+00:00,,,
,,,,,2024-05-09T06:33:57+00:00,3201642.375,971226112.0,306685888.0
