totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4347354056.362621,5484854069.591788,547363652.1060753,3198651.0625,160725608.30712005,2024-04-08T06:33:54+00:00,,,
,,,,,2024-04-08T06:33:55+00:00,3198651.0625,969584640.0,306568704.0
