totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4142834590.3858457,5455334602.573345,429734477.1337254,3200626.125,161099327.84765,2024-01-06T03:33:56+00:00,,,
,,,,,2024-01-06T03:33:57+00:00,3200626.125,932175872.0,294970176.0
