totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4637510997.694218,5512511012.485885,629871937.0904075,3205260.1875,177619896.6213942,2024-06-29T00:33:55+00:00,,,
,,,,,2024-06-29T00:33:56+00:00,3205260.1875,976171520.0,307943808.0
