totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4052688040.6411514,5452688052.307817,435209777.1500086,3199689.4375,143990404.19428432,2023-12-28T06:33:55+00:00,,,
,,,,,2023-12-28T06:33:56+00:00,3199689.4375,930982400.0,294811072.0
