totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4348663382.518865,5486163395.748032,534516705.2372703,3198806.0625,162107419.3381158,2024-04-12T06:33:56+00:00,,,
,,,,,2024-04-12T06:33:57+00:00,3198806.0625,969789440.0,306610048.0
