totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4149707870.1694436,5462207882.356943,444624681.28681326,3202086.0625,158098650.7098072,2024-01-28T14:33:55+00:00,,,
,,,,,2024-01-28T14:33:56+00:00,3202086.125,942269440.0,295907200.0
