totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4734609243.848957,5522109259.161457,642062845.7137972,3206723.6875,179832454.28658912,2024-07-26T10:33:55+00:00,,,
,,,,,2024-07-26T10:33:56+00:00,3206723.6875,977585152.0,308563008.0
