totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
3761181951.13615,5423681961.240316,395965322.0708978,3279001.5,154948309.2844655,2023-09-21T07:33:55+00:00,,,
,,,,,2023-09-21T07:33:56+00:00,3279001.5,722473984.0,238714176.0
