totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4338369499.695076,5475869512.924243,553054759.0655903,3198125.9375,162085996.2667071,2024-03-11T19:33:56+00:00,,,
,,,,,2024-03-11T19:33:57+00:00,3198125.9375,964180480.0,306032384.0
