totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4837400637.515637,5537400653.34897,661655718.0385472,3212640.75,172700186.36727732,2024-09-07T23:33:56+00:00,,,
,,,,,2024-09-07T23:33:57+00:00,3212640.75,984327168.0,312940928.0
