totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
3760964550.6441407,5423464560.748307,406544141.83448386,3279227.25,143676393.636893,2023-09-20T13:33:55+00:00,,,
,,,,,2023-09-20T13:33:56+00:00,3279227.25,720734720.0,238303552.0
