totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4442673961.448119,5492673975.198119,574336166.8300451,3201154.75,168057276.9942214,2024-05-01T20:33:56+00:00,,,
,,,,,2024-05-01T20:33:57+00:00,3201154.75,970519552.0,306669824.0
