totalCirculating,totalIssued,totalStaking,totalCollateral,totalEspaceTokens,create_ts,totalStorageTokens,convertedStoragePoints,usedStoragePoints
4150902533.2925115,5463402545.480011,444237142.35416174,3204565.125,154016900.5013581,2024-02-01T12:33:56+00:00,,,
,,,,,2024-02-01T12:33:57+00:00,3204565.125,943993344.0,297684800.0
